     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况17 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

    4     1     4000186      4.96     3.79         3150
                4000186      1.92     1.44       1/1640     26.53%    0.61
    3     1     3000126      3.04     2.36         3150
                3000191      1.52     0.87       1/2072     16.91%    0.57
    2     1     2000097      1.53     1.25         3150
                2000097      1.05     0.85       1/2991     53.39%    0.64
    1     1     1000097      0.48     0.40         3150
                1000097      0.48     0.40       1/6613    100.00%    0.36

  Y向最大层间位移角：  1/845  (18层1塔)

  === 工况15 === Y- 偶然偏心地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   31     1    31000081     86.62    79.32         3150
               31000413      3.04     2.75       1/1037      1.99%    1.00
   30     1    30000413     83.76    76.73         3150
               30000413      3.10     2.80       1/1016      2.28%    0.78
   29     1    29000413     80.85    74.11         3150
               29000081      3.18     2.87       1/ 992      2.45%    0.86
   28     1    28000081     77.90    71.44         3150
               28000081      3.25     2.94       1/ 968      2.37%    0.87
   27     1    27000413     74.89    68.73         3150
               27000413      3.33     3.01       1/ 945      2.16%    0.87
   26     1    26000081     71.82    65.96         3150
               26000413      3.40     3.07       1/ 926      1.88%    0.87
   25     1    25000413     68.69    63.13         3150
               25000413      3.47     3.13       1/ 909      1.56%    0.87
   24     1    24000413     65.50    60.26         3150
               24000413      3.52     3.18       1/ 895      1.24%    0.86
   23     1    23000413     62.26    57.33         3150
               23000413      3.56     3.22       1/ 885      0.92%    0.86
   22     1    22000081     58.97    54.36         3150
               22000081      3.59     3.25       1/ 878      0.61%    0.85
   21     1    21000413     55.65    51.35         3150
               21000081      3.61     3.27       1/ 873      0.30%    0.85
   20     1    20000081     52.29    48.31         3150
               20000131      3.62     3.28       1/ 871      0.10%    0.84
   19     1    19000081     48.91    45.24         3150
               19000413      3.61     3.27       1/ 873      0.23%    0.84
   18     1    18000081     45.51    42.15         3150
               18000413      3.60     3.27       1/ 876      0.48%    0.83
   17     1    17000081     42.11    39.06         3150
               17000081      3.58     3.25       1/ 881      0.76%    0.83
   16     1    16000413     38.70    35.96         3150
               16000413      3.54     3.23       1/ 889      1.07%    0.82
   15     1    15000413     35.31    32.86         3150
               15000413      3.50     3.19       1/ 899      1.48%    0.82
   14     1    14000413     31.93    29.78         3150
               14000081      3.45     3.14       1/ 914      1.77%    0.81
   13     1    13000413     28.60    26.73         3150
               13000081      3.38     3.09       1/ 932      2.26%    0.81
   12     1    12000413     25.31    23.71         3150
               12000413      3.30     3.02       1/ 955      2.90%    0.80
   11     1    11000081     22.08    20.76         3150
               11000413      3.20     2.93       1/ 986      3.75%    0.79
   10     1    10000081     18.95    17.87         3150
               10000081      3.07     2.82       1/1027      4.60%    0.78
    9     1     9000081     15.93    15.09         3150
                9000081      2.92     2.69       1/1080      5.93%    0.77
    8     1     8000413     13.05    12.42         3150
                8000081      2.73     2.53       1/1153      7.74%    0.75
    7     1     7000081     10.35     9.91         3150
                7000413      2.51     2.34       1/1257     10.46%    0.73
    6     1     6000081      7.87     7.59         3150
                6000413      2.22     2.09       1/1421     14.31%    0.69
    5     1     5000081      5.68     5.52         3150
                5000413      1.86     1.79       1/1690     21.79%    0.66
    4     1     4000081      3.83     3.73         3150
                4000120      1.44     1.40       1/2183     25.11%    0.60
    3     1     3000088      2.48     2.34         3150
                3000683      1.13     0.67       1/2796     20.30%    0.58
    2     1     2000051      1.48     1.27         3150
                2000051      0.99     0.87       1/3173     53.13%    0.61
    1     1     1000051      0.48     0.40         3150
                1000051      0.48     0.40       1/6508    100.00%    0.36

  Y向最大层间位移角：  1/871  (20层1塔)

  === 工况22 === 最不利地震方向 106.521 下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

