     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况17 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   24      1  24000052        -2.64
   23      1  23000052        -2.60
   22      1  22000052        -2.56
   21      1  21000052        -2.51
   20      1  20000052        -2.46
   19      1  19000052        -2.40
   18      1  18000052        -2.34
   17      1  17000052        -2.28
   16      1  16000052        -2.21
   15      1  15000052        -2.14
   14      1  14000052        -2.06
   13      1  13000052        -1.98
   12      1  12000052        -1.89
   11      1  11000052        -1.80
   10      1  10000052        -1.71
    9      1   9000052        -1.61
    8      1   8000052        -1.51
    7      1   7000052        -1.40
    6      1   6000052        -1.29
    5      1   5000052        -1.17
    4      1   4000052        -1.07
    3      1   3000104        -0.96
    2      1   2000168        -0.87
    1      1   1000168        -0.77

  === 工况21 === 竖向地震作用下的楼层最大位移

  Floor  Tower    Jmax       Max-(Z)

   31      1  31000187        -2.05
   30      1  30000103        -2.03
   29      1  29000103        -2.02
   28      1  28000103        -2.00
   27      1  27000103        -1.98
   26      1  26000103        -1.95
   25      1  25000103        -1.91
   24      1  24000103        -1.87
   23      1  23000103        -1.82
   22      1  22000103        -1.76
   21      1  21000103        -1.71
   20      1  20000103        -1.64
   19      1  19000103        -1.57
   18      1  18000103        -1.50
   17      1  17000103        -1.43
   16      1  16000103        -1.35
   15      1  15000103        -1.27
   14      1  14000103        -1.19
   13      1  13000052        -1.13
   12      1  12000052        -1.07
   11      1  11000052        -1.01
   10      1  10000052        -0.95
    9      1   9000052        -0.88
    8      1   8000052        -0.82
    7      1   7000052        -0.75
    6      1   6000052        -0.69
    5      1   5000052        -0.62
    4      1   4000052        -0.56
    3      1   3000104        -0.51
    2      1   2000006        -0.19
    1      1   1000168        -0.11

  === 工况6 === X 方向规定水平力作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx    Ave-Dx     Ratio-Dx         

   31     1    31000083     70.77    68.76        1.03         3150
               31000083      1.87     1.85        1.01
   30     1    30000083     68.91    66.91        1.03         3150
               30000086      1.96     1.94        1.01
   29     1    29000083     66.95    64.97        1.03         3150
               29000431      2.05     2.03        1.01
   28     1    28000086     64.89    62.94        1.03         3150
               28000086      2.16     2.13        1.01
   27     1    27000086     62.74    60.81        1.03         3150
               27000086      2.25     2.22        1.02
   26     1    26000086     60.48    58.59        1.03         3150
               26000519      2.34     2.31        1.02
   25     1    25000083     58.14    56.29        1.03         3150
               25000083      2.43     2.38        1.02
   24     1    24000086     55.71    53.90        1.03         3150
               24000431      2.50     2.45        1.02
   23     1    23000086     53.21    51.45        1.03         3150
               23000086      2.56     2.51        1.02
   22     1    22000083     50.65    48.94        1.03         3150
               22000083      2.62     2.56        1.02
   21     1    21000086     48.03    46.38        1.04         3150
               21000083      2.66     2.60        1.02
   20     1    20000086     45.36    43.78        1.04         3150
               20000431      2.70     2.63        1.03
   19     1    19000083     42.66    41.15        1.04         3150
               19000083      2.72     2.65        1.03
   18     1    18000086     39.95    38.51        1.04         3150
               18000431      2.74     2.66        1.03
   17     1    17000086     37.20    35.85        1.04         3150
               17000490      2.76     2.67        1.03
   16     1    16000083     34.45    33.17        1.04         3150
               16000086      2.77     2.68        1.03
   15     1    15000083     31.68    30.49        1.04         3150
               15000431      2.77     2.68        1.03
   14     1    14000086     28.91    27.81        1.04         3150
               14000086      2.76     2.67        1.04
   13     1    13000086     26.15    25.14        1.04         3150
               13000431      2.75     2.65        1.04
   12     1    12000083     23.41    22.49        1.04         3150
               12000086      2.72     2.62        1.04
   11     1    11000083     20.68    19.87        1.04         3150
               11000431      2.69     2.58        1.04
   10     1    10000086     18.00    17.29        1.04         3150
               10000083      2.63     2.52        1.04
    9     1     9000083     15.37    14.76        1.04         3150
                9000431      2.55     2.45        1.04
    8     1     8000083     12.82    12.31        1.04         3150
                8000492      2.45     2.35        1.04
    7     1     7000086     10.37     9.96        1.04         3150
                7000083      2.32     2.22        1.04
    6     1     6000086      8.05     7.73        1.04         3150
                6000086      2.13     2.04        1.04
    5     1     5000083      5.92     5.69        1.04         3150
                5000086      1.87     1.80        1.04
    4     1     4000086      4.04     3.90        1.04         3150
                4000492      1.47     1.40        1.04
    3     1     3000101      2.58     2.49        1.04         3150
                3000088      1.12     0.69        1.62
    2     1     2000045      1.67     1.52        1.10         3150
                2000045      1.18     1.03        1.14
    1     1     1000031      0.50     0.49        1.03         3150
                1000031      0.50     0.49        1.00

  X方向最大位移与层平均位移的比值：  1.10  (2层1塔)
  X方向最大层间位移与平均层间位移的比值：  1.62  (3层1塔)

  === 工况7 === X+ 偶然偏心规定水平力作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx    Ave-Dx     Ratio-Dx         

   31     1    31000083     68.76    68.59        1.00         3150
               31000092      1.89     1.85        1.02
   30     1    30000083     66.95    66.74        1.00         3150
               30000092      1.97     1.94        1.02
   29     1    29000086     65.04    64.80        1.00         3150
               29000092      2.06     2.03        1.02
   28     1    28000086     63.05    62.77        1.00         3150
               28000092      2.16     2.13        1.01
   27     1    27000083     60.95    60.64        1.01         3150
               27000005      2.25     2.22        1.01
   26     1    26000083     58.76    58.43        1.01         3150
               26000092      2.33     2.30        1.01
   25     1    25000083     56.49    56.12        1.01         3150
               25000092      2.40     2.38        1.01
   24     1    24000086     54.13    53.74        1.01         3150
               24000092      2.46     2.45        1.01
   23     1    23000086     51.70    51.30        1.01         3150
               23000005      2.52     2.51        1.01
   22     1    22000086     49.20    48.79        1.01         3150
               22000005      2.56     2.55        1.00
   21     1    21000086     46.66    46.24        1.01         3150
               21000005      2.60     2.59        1.00
   20     1    20000086     44.07    43.64        1.01         3150
               20000092      2.63     2.62        1.00
   19     1    19000086     41.45    41.02        1.01         3150
               19000086      2.64     2.64        1.00
   18     1    18000083     38.81    38.38        1.01         3150
               18000431      2.66     2.66        1.00
   17     1    17000086     36.15    35.72        1.01         3150
               17000490      2.68     2.67        1.00
   16     1    16000086     33.47    33.06        1.01         3150
               16000083      2.69     2.67        1.01
   15     1    15000083     30.78    30.38        1.01         3150
               15000431      2.69     2.67        1.01
   14     1    14000083     28.09    27.71        1.01         3150
               14000083      2.68     2.66        1.01
   13     1    13000083     25.41    25.05        1.01         3150
               13000431      2.67     2.64        1.01
   12     1    12000086     22.74    22.41        1.01         3150
               12000083      2.65     2.62        1.01
   11     1    11000086     20.09    19.80        1.01         3150
               11000083      2.61     2.57        1.01
   10     1    10000083     17.49    17.22        1.02         3150
               10000086      2.55     2.51        1.01
    9     1     9000086     14.94    14.71        1.02         3150
                9000083      2.48     2.44        1.02
    8     1     8000086     12.45    12.27        1.02         3150
                8000492      2.38     2.34        1.02
    7     1     7000086     10.07     9.92        1.02         3150
                7000083      2.25     2.21        1.02
    6     1     6000086      7.82     7.71        1.01         3150
                6000431      2.07     2.03        1.02
    5     1     5000083      5.75     5.67        1.01         3150
                5000086      1.82     1.79        1.02
    4     1     4000086      3.93     3.88        1.01         3150
                4000492      1.42     1.40        1.02
    3     1     3000088      2.50     2.48        1.01         3150
                3000101      1.08     0.68        1.60
    2     1     2000045      1.66     1.53        1.08         3150
                2000045      1.17     1.04        1.12
    1     1     1000052      0.49     0.49        1.00         3150
                1000052      0.49     0.49        1.00

  X方向最大位移与层平均位移的比值：  1.08  (2层1塔)
  X方向最大层间位移与平均层间位移的比值：  1.60  (3层1塔)

  === 工况8 === X- 偶然偏心规定水平力作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx    Ave-Dx     Ratio-Dx         

   31     1    31000086     72.78    68.94        1.06         3150
               31000083      1.92     1.85        1.04
   30     1    30000083     70.86    67.08        1.06         3150
               30000083      2.02     1.94        1.04
   29     1    29000086     68.85    65.14        1.06         3150
               29000431      2.11     2.03        1.04
   28     1    28000086     66.73    63.11        1.06         3150
               28000083      2.22     2.13        1.04
   27     1    27000083     64.52    60.98        1.06         3150
               27000431      2.32     2.22        1.04
   26     1    26000083     62.20    58.76        1.06         3150
               26000519      2.41     2.31        1.04
   25     1    25000083     59.79    56.45        1.06         3150
               25000083      2.50     2.39        1.05
   24     1    24000083     57.29    54.06        1.06         3150
               24000431      2.57     2.46        1.05
   23     1    23000086     54.72    51.61        1.06         3150
               23000083      2.64     2.51        1.05
   22     1    22000083     52.09    49.09        1.06         3150
               22000083      2.69     2.56        1.05
   21     1    21000086     49.39    46.53        1.06         3150
               21000086      2.74     2.60        1.05
   20     1    20000086     46.65    43.92        1.06         3150
               20000431      2.78     2.64        1.05
   19     1    19000083     43.88    41.29        1.06         3150
               19000083      2.80     2.65        1.05
   18     1    18000083     41.08    38.64        1.06         3150
               18000492      2.82     2.67        1.06
   17     1    17000083     38.26    35.97        1.06         3150
               17000490      2.84     2.68        1.06
   16     1    16000086     35.43    33.29        1.06         3150
               16000083      2.85     2.69        1.06
   15     1    15000083     32.58    30.60        1.06         3150
               15000431      2.85     2.69        1.06
   14     1    14000086     29.73    27.91        1.07         3150
               14000083      2.84     2.67        1.06
   13     1    13000083     26.90    25.23        1.07         3150
               13000431      2.83     2.66        1.06
   12     1    12000086     24.07    22.58        1.07         3150
               12000086      2.80     2.63        1.06
   11     1    11000086     21.27    19.94        1.07         3150
               11000086      2.76     2.59        1.06
   10     1    10000086     18.51    17.35        1.07         3150
               10000083      2.70     2.53        1.07
    9     1     9000086     15.81    14.82        1.07         3150
                9000083      2.62     2.46        1.07
    8     1     8000083     13.18    12.36        1.07         3150
                8000492      2.52     2.36        1.07
    7     1     7000083     10.66     9.99        1.07         3150
                7000083      2.38     2.23        1.07
    6     1     6000086      8.28     7.76        1.07         3150
                6000431      2.19     2.05        1.07
    5     1     5000086      6.09     5.71        1.07         3150
                5000086      1.93     1.80        1.07
    4     1     4000083      4.16     3.91        1.07         3150
                4000492      1.51     1.41        1.07
    3     1     3000101      2.65     2.50        1.06         3150
                3000088      1.15     0.71        1.63
    2     1     2000045      1.67     1.50        1.11         3150
                2000045      1.18     1.03        1.15
    1     1     1000031      0.52     0.49        1.05         3150
                1000031      0.52     0.49        1.00

  X方向最大位移与层平均位移的比值：  1.11  (2层1塔)
  X方向最大层间位移与平均层间位移的比值：  1.63  (3层1塔)

  === 工况9 === Y 方向规定水平力作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)    Ratio-(Y)       h
                  JmaxD    Max-Dy    Ave-Dy     Ratio-Dy         

   31     1    31000186     96.43    95.90        1.01         3150
               31000081      3.34     3.27        1.02
   30     1    30000186     93.22    92.63        1.01         3150
               30000413      3.40     3.33        1.02
   29     1    29000120     89.96    89.29        1.01         3150
               29000081      3.47     3.40        1.02
   28     1    28000186     86.62    85.89        1.01         3150
               28000081      3.55     3.48        1.02
   27     1    27000120     83.21    82.41        1.01         3150
               27000413      3.61     3.55        1.02
   26     1    26000186     79.73    78.86        1.01         3150
               26000413      3.67     3.61        1.02
   25     1    25000120     76.19    75.25        1.01         3150
               25000413      3.73     3.67        1.02
   24     1    24000120     72.58    71.59        1.01         3150
               24000081      3.77     3.71        1.02
   23     1    23000120     68.93    67.88        1.02         3150
               23000413      3.80     3.75        1.01
   22     1    22000120     65.23    64.13        1.02         3150
               22000081      3.82     3.77        1.01
   21     1    21000120     61.50    60.36        1.02         3150
               21000081      3.83     3.79        1.01
   20     1    20000120     57.76    56.57        1.02         3150
               20000131      3.83     3.79        1.01
   19     1    19000186     54.00    52.78        1.02         3150
               19000413      3.81     3.78        1.01
   18     1    18000186     50.24    48.99        1.03         3150
               18000081      3.79     3.77        1.00
   17     1    17000120     46.49    45.23        1.03         3150
               17000081      3.75     3.74        1.00
   16     1    16000186     42.76    41.48        1.03         3150
               16000081      3.71     3.71        1.00
   15     1    15000186     39.05    37.77        1.03         3150
               15000186      3.67     3.66        1.00
   14     1    14000186     35.38    34.11        1.04         3150
               14000186      3.62     3.61        1.00
   13     1    13000186     31.76    30.50        1.04         3150
               13000186      3.56     3.54        1.01
   12     1    12000120     28.20    26.97        1.05         3150
               12000120      3.48     3.45        1.01
   11     1    11000186     24.71    23.52        1.05         3150
               11000120      3.39     3.34        1.01
   10     1    10000120     21.33    20.18        1.06         3150
               10000186      3.27     3.21        1.02
    9     1     9000120     18.06    16.97        1.06         3150
                9000322      3.12     3.05        1.02
    8     1     8000120     14.94    13.92        1.07         3150
                8000120      2.95     2.86        1.03
    7     1     7000120     11.99    11.06        1.08         3150
                7000186      2.74     2.63        1.04
    6     1     6000120      9.26     8.43        1.10         3150
                6000186      2.48     2.35        1.06
    5     1     5000186      6.78     6.08        1.11         3150
                5000322      2.17     2.00        1.08
    4     1     4000120      4.61     4.08        1.13         3150
                4000186      1.81     1.56        1.16
    3     1     3000190      2.80     2.52        1.11         3150
                3000190      1.42     0.84        1.69
    2     1     2000045      1.43     1.35        1.06         3150
                2000045      1.01     0.93        1.08
    1     1     1000051      0.43     0.42        1.01         3150
                1000051      0.43     0.42        1.00

  Y方向最大位移与层平均位移的比值：  1.13  (4层1塔)
  Y方向最大层间位移与平均层间位移的比值：  1.69  (3层1塔)

  === 工况10 === Y+ 偶然偏心规定水平力作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)    Ratio-(Y)       h
                  JmaxD    Max-Dy    Ave-Dy     Ratio-Dy         

   31     1    31000186    108.34    96.06        1.13         3150
               31000186      3.55     3.27        1.09
   30     1    30000120    104.79    92.79        1.13         3150
               30000120      3.63     3.33        1.09
   29     1    29000120    101.16    89.46        1.13         3150
               29000186      3.71     3.40        1.09
   28     1    28000120     97.45    86.06        1.13         3150
               28000186      3.79     3.47        1.09
   27     1    27000120     93.66    82.58        1.13         3150
               27000120      3.88     3.54        1.09
   26     1    26000120     89.78    79.04        1.14         3150
               26000186      3.95     3.61        1.10
   25     1    25000186     85.83    75.43        1.14         3150
               25000120      4.02     3.66        1.10
   24     1    24000186     81.81    71.77        1.14         3150
               24000186      4.08     3.71        1.10
   23     1    23000120     77.72    68.05        1.14         3150
               23000186      4.13     3.75        1.10
   22     1    22000186     73.59    64.31        1.14         3150
               22000186      4.17     3.77        1.10
   21     1    21000120     69.42    60.53        1.15         3150
               21000120      4.19     3.79        1.11
   20     1    20000186     65.23    56.74        1.15         3150
               20000322      4.21     3.79        1.11
   19     1    19000120     61.02    52.95        1.15         3150
               19000120      4.21     3.78        1.11
   18     1    18000186     56.81    49.17        1.16         3150
               18000322      4.20     3.77        1.11
   17     1    17000120     52.61    45.39        1.16         3150
               17000186      4.19     3.75        1.12
   16     1    16000186     48.42    41.65        1.16         3150
               16000186      4.16     3.71        1.12
   15     1    15000186     44.26    37.93        1.17         3150
               15000186      4.13     3.67        1.12
   14     1    14000120     40.13    34.26        1.17         3150
               14000186      4.07     3.61        1.13
   13     1    13000186     36.06    30.65        1.18         3150
               13000186      4.01     3.54        1.13
   12     1    12000186     32.05    27.11        1.18         3150
               12000186      3.93     3.46        1.14
   11     1    11000120     28.13    23.65        1.19         3150
               11000186      3.82     3.35        1.14
   10     1    10000120     24.31    20.30        1.20         3150
               10000120      3.69     3.22        1.15
    9     1     9000186     20.62    17.08        1.21         3150
                9000322      3.53     3.06        1.15
    8     1     8000120     17.08    14.02        1.22         3150
                8000186      3.34     2.87        1.16
    7     1     7000186     13.74    11.15        1.23         3150
                7000186      3.11     2.65        1.18
    6     1     6000186     10.63     8.50        1.25         3150
                6000120      2.82     2.36        1.20
    5     1     5000120      7.81     6.14        1.27         3150
                5000322      2.48     2.02        1.23
    4     1     4000120      5.33     4.12        1.29         3150
                4000186      2.07     1.58        1.31
    3     1     3000126      3.26     2.53        1.29         3150
                3000190      1.64     0.95        1.73
    2     1     2000098      1.62     1.33        1.22         3150
                2000097      1.12     0.91        1.23
    1     1     1000098      0.50     0.42        1.18         3150
                1000098      0.50     0.42        1.00

  Y方向最大位移与层平均位移的比值：  1.29  (4层1塔)
  Y方向最大层间位移与平均层间位移的比值：  1.73  (3层1塔)

  === 工况11 === Y- 偶然偏心规定水平力作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)    Ratio-(Y)       h
                  JmaxD    Max-Dy    Ave-Dy     Ratio-Dy         

   31     1    31000413    106.95    95.73        1.12         3150
               31000413      3.69     3.27        1.13
   30     1    30000413    103.26    92.46        1.12         3150
               30000081      3.77     3.34        1.13
   29     1    29000081     99.50    89.12        1.12         3150
               29000081      3.85     3.41        1.13
   28     1    28000413     95.65    85.72        1.12         3150
               28000413      3.94     3.48        1.13
   27     1    27000413     91.71    82.24        1.12         3150
               27000081      4.02     3.55        1.13
   26     1    26000413     87.70    78.69        1.11         3150
               26000413      4.09     3.61        1.13
   25     1    25000413     83.61    75.08        1.11         3150
               25000413      4.15     3.67        1.13
   24     1    24000081     79.46    71.41        1.11         3150
               24000081      4.20     3.71        1.13
   23     1    23000081     75.27    67.70        1.11         3150
               23000413      4.23     3.75        1.13
   22     1    22000081     71.03    63.95        1.11         3150
               22000081      4.26     3.77        1.13
   21     1    21000413     66.77    60.18        1.11         3150
               21000081      4.27     3.79        1.13
   20     1    20000081     62.50    56.39        1.11         3150
               20000081      4.27     3.79        1.13
   19     1    19000413     58.23    52.60        1.11         3150
               19000413      4.25     3.78        1.13
   18     1    18000081     53.97    48.82        1.11         3150
               18000081      4.23     3.76        1.12
   17     1    17000081     49.74    45.06        1.10         3150
               17000413      4.20     3.74        1.12
   16     1    16000081     45.54    41.32        1.10         3150
               16000413      4.16     3.70        1.12
   15     1    15000413     41.38    37.61        1.10         3150
               15000081      4.10     3.66        1.12
   14     1    14000413     37.28    33.95        1.10         3150
               14000081      4.03     3.60        1.12
   13     1    13000081     33.26    30.36        1.10         3150
               13000081      3.94     3.53        1.12
   12     1    12000081     29.31    26.83        1.09         3150
               12000413      3.84     3.44        1.12
   11     1    11000413     25.48    23.39        1.09         3150
               11000081      3.71     3.33        1.11
   10     1    10000413     21.77    20.06        1.09         3150
               10000413      3.55     3.20        1.11
    9     1     9000413     18.22    16.86        1.08         3150
                9000081      3.37     3.04        1.11
    8     1     8000081     14.85    13.82        1.07         3150
                8000081      3.14     2.85        1.10
    7     1     7000413     11.70    10.97        1.07         3150
                7000413      2.87     2.62        1.10
    6     1     6000081      8.83     8.36        1.06         3150
                6000413      2.53     2.33        1.08
    5     1     5000081      6.30     6.03        1.05         3150
                5000081      2.11     1.99        1.06
    4     1     4000413      4.19     4.04        1.04         3150
                4000186      1.55     1.54        1.01
    3     1     3000073      2.66     2.50        1.06         3150
                3000683      1.21     0.74        1.64
    2     1     2000051      1.55     1.34        1.16         3150
                2000051      1.04     0.92        1.14
    1     1     1000051      0.51     0.42        1.21         3150
                1000051      0.51     0.42        1.00

  Y方向最大位移与层平均位移的比值：  1.21  (1层1塔)
  Y方向最大层间位移与平均层间位移的比值：  1.64  (3层1塔)

     **********************************************************
                  连梁刚度不折减模型下位移统计                 
     **********************************************************
  === 工况17 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   31     1    31000083     66.57    61.05         3150
               31000083      1.78     1.65       1/1766      4.96%    1.00
   30     1    30000086     64.93    59.52         3150
               30000431      1.87     1.73       1/1681      5.06%    0.81
   29     1    29000083     63.22    57.92         3150
               29000431      1.97     1.82       1/1599      5.22%    0.90
   28     1    28000083     61.43    56.26         3150
               28000083      2.07     1.92       1/1519      4.90%    0.92
   27     1    27000086     59.57    54.53         3150
               27000431      2.18     2.01       1/1447      4.41%    0.92
   26     1    26000086     57.62    52.73         3150
               26000519      2.27     2.10       1/1385      3.85%    0.91
   25     1    25000083     55.59    50.84         3150
               25000083      2.36     2.18       1/1333      3.30%    0.90
   24     1    24000086     53.49    48.89         3150
               24000431      2.44     2.25       1/1289      2.78%    0.90
   23     1    23000083     51.30    46.87         3150
               23000083      2.51     2.31       1/1253      2.30%    0.89
   22     1    22000083     49.04    44.78         3150
               22000083      2.57     2.37       1/1224      1.86%    0.88
   21     1    21000086     46.71    42.63         3150
               21000431      2.62     2.41       1/1201      1.41%    0.87
   20     1    20000086     44.32    40.43         3150
               20000431      2.66     2.44       1/1183      0.81%    0.86
   19     1    19000083     41.88    38.18         3150
               19000086      2.69     2.46       1/1172      0.82%    0.85
   18     1    18000086     39.39    35.90         3150
               18000431      2.71     2.48       1/1162      0.60%    0.85
   17     1    17000086     36.86    33.58         3150
               17000490      2.73     2.50       1/1154      0.37%    0.85
   16     1    16000086     34.29    31.22         3150
               16000431      2.74     2.51       1/1149      0.08%    0.84
   15     1    15000083     31.69    28.84         3150
               15000431      2.75     2.51       1/1147      0.34%    0.84
   14     1    14000083     29.06    26.43         3150
               14000083      2.74     2.50       1/1150      0.40%    0.83
   13     1    13000086     26.41    24.02         3150
               13000431      2.73     2.49       1/1153      0.74%    0.83
   12     1    12000086     23.76    21.60         3150
               12000083      2.71     2.47       1/1161      1.24%    0.82
   11     1    11000086     21.11    19.19         3150
               11000431      2.68     2.44       1/1175      2.00%    0.82
   10     1    10000083     18.48    16.80         3150
               10000083      2.63     2.39       1/1197      2.50%    0.81
    9     1     9000083     15.88    14.44         3150
                9000431      2.57     2.33       1/1227      3.50%    0.80
    8     1     8000086     13.34    12.13         3150
                8000492      2.48     2.25       1/1272      4.94%    0.79
    7     1     7000086     10.89     9.90         3150
                7000431      2.35     2.14       1/1338      7.14%    0.77
    6     1     6000083      8.55     7.78         3150
                6000083      2.19     1.99       1/1441     10.91%    0.74
    5     1     5000086      6.37     5.80         3150
                5000083      1.94     1.77       1/1621     20.53%    0.69
    4     1     4000086      4.44     4.04         3150
                4000139      1.60     1.37       1/1965     26.68%    0.61
    3     1     3000045      3.30     2.77         3150
                3000105      1.39     0.84       1/2265      2.73%    0.56
    2     1     2000031      2.53     1.89         3150
                2000031      1.64     1.21       1/1925     48.43%    0.75
    1     1     1000031      0.90     0.64         3150
                1000031      0.90     0.64       1/3518    100.00%    0.40

  X向最大层间位移角：  1/1147  (15层1塔)

  === 工况18 === Y 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   31     1    31000186     81.53    79.90         3150
               31000413      2.77     2.75       1/1137      1.99%    1.00
   30     1    30000186     78.98    77.32         3150
               30000081      2.82     2.80       1/1115      2.28%    0.78
   29     1    29000120     76.39    74.70         3150
               29000413      2.89     2.87       1/1091      2.45%    0.86
   28     1    28000120     73.76    72.04         3150
               28000081      2.96     2.94       1/1066      2.38%    0.87
   27     1    27000186     71.07    69.33         3150
               27000081      3.02     3.01       1/1042      2.17%    0.87
   26     1    26000186     68.33    66.56         3150
               26000081      3.08     3.07       1/1022      1.89%    0.87
   25     1    25000120     65.52    63.74         3150
               25000081      3.14     3.13       1/1005      1.58%    0.87
   24     1    24000186     62.66    60.87         3150
               24000120      3.18     3.18       1/ 990      1.27%    0.86
   23     1    23000186     59.74    57.94         3150
               23000120      3.23     3.22       1/ 976      0.95%    0.86
   22     1    22000186     56.78    54.97         3150
               22000186      3.26     3.25       1/ 965      0.64%    0.85
   21     1    21000186     53.76    51.96         3150
               21000186      3.29     3.27       1/ 957      0.34%    0.85
   20     1    20000120     50.70    48.92         3150
               20000322      3.31     3.28       1/ 952      0.06%    0.84
   19     1    19000186     47.61    45.85         3150
               19000186      3.31     3.28       1/ 951      0.19%    0.84
   18     1    18000120     44.49    42.76         3150
               18000322      3.31     3.27       1/ 951      0.43%    0.83
   17     1    17000120     41.36    39.66         3150
               17000186      3.30     3.26       1/ 953      0.70%    0.83
   16     1    16000186     38.21    36.56         3150
               16000120      3.29     3.24       1/ 958      1.01%    0.82
   15     1    15000120     35.05    33.46         3150
               15000186      3.26     3.21       1/ 965      1.41%    0.82
   14     1    14000120     31.90    30.36         3150
               14000120      3.23     3.16       1/ 976      1.68%    0.81
   13     1    13000186     28.76    27.30         3150
               13000186      3.18     3.11       1/ 990      2.15%    0.81
   12     1    12000186     25.65    24.27         3150
               12000186      3.12     3.04       1/1009      2.76%    0.80
   11     1    11000186     22.59    21.30         3150
               11000120      3.05     2.96       1/1034      3.57%    0.79
   10     1    10000120     19.59    18.39         3150
               10000120      2.95     2.85       1/1068      4.37%    0.78
    9     1     9000120     16.67    15.58         3150
                9000322      2.83     2.73       1/1112      5.63%    0.77
    8     1     8000186     13.86    12.89         3150
                8000186      2.69     2.57       1/1171      7.32%    0.75
    7     1     7000120     11.18    10.34         3150
                7000120      2.51     2.38       1/1254      9.82%    0.73
    6     1     6000186      8.68     7.97         3150
                6000120      2.30     2.15       1/1372     13.24%    0.70
    5     1     5000120      6.39     5.84         3150
                5000322      2.03     1.87       1/1553     19.08%    0.67
    4     1     4000120      4.36     3.99         3150
                4000186      1.71     1.45       1/1839     26.86%    0.62
    3     1     3000108      2.70     2.46         3150
                3000108      1.38     0.81       1/2286     18.94%    0.56
    2     1     2000063      1.68     1.42         3150
                2000063      1.11     0.96       1/2846     53.58%    0.62
    1     1     1000063      0.58     0.46         3150
                1000063      0.58     0.46       1/5435    100.00%    0.36

  Y向最大层间位移角：  1/951  (18层1塔)

  === 工况22 === 最不利地震方向 106.521 下的楼层最大位移

  Floor  Tower    Jmax     Max-(Y)   Ave-(Y)        h
                  JmaxD    Max-Dy    Ave-Dy     Max-Dy/h    DyR/Dy    Ratio_AY

   31     1    31000135     80.32    77.48         3150
               31000135      2.67     2.64       1/1182      2.12%    1.00
   30     1    30000135     77.85    75.00         3150
               30000135      2.73     2.70       1/1156      2.38%    0.79
   29     1    29000135     75.34    72.50         3150
               29000135      2.79     2.77       1/1128      2.55%    0.86
   28     1    28000135     72.79    69.95         3150
               28000135      2.87     2.84       1/1098      2.46%    0.87
   27     1    27000135     70.18    67.35         3150
               27000135      2.94     2.91       1/1070      2.24%    0.87
   26     1    26000135     67.51    64.69         3150
               26000135      3.02     2.97       1/1044      1.95%    0.87
   25     1    25000135     64.78    61.98         3150
               25000135      3.08     3.03       1/1023      1.62%    0.87
   24     1    24000135     62.00    59.22         3150
               24000135      3.14     3.08       1/1004      1.29%    0.86
   23     1    23000135     59.16    56.41         3150
               23000135      3.18     3.12       1/ 990      0.97%    0.86
   22     1    22000135     56.27    53.55         3150
               22000135      3.22     3.15       1/ 979      0.66%    0.85
   21     1    21000135     53.33    50.66         3150
               21000135      3.24     3.17       1/ 971      0.36%    0.85
